P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
80,raw,DecisionTree,0.694920,0.005481,0.616540,0.003812,0.597693,0.005236,5
80,raw,MLP,0.816000,0.003058,0.685000,0.002951,0.661116,0.006286,5
80,raw,RandomForest,0.768820,0.005569,0.665080,0.002563,0.569407,0.008680,5
80,raw,Transformer,0.771200,0.006319,0.636500,0.008464,0.701329,0.018217,5
80,zscore,DecisionTree,0.696340,0.008794,0.618420,0.005193,0.600160,0.002069,5
80,zscore,MLP,0.812020,0.005757,0.686460,0.004448,0.671161,0.005602,5
80,zscore,RandomForest,0.770480,0.005473,0.669340,0.002211,0.569883,0.007858,5
80,zscore,Transformer,0.774920,0.005736,0.635900,0.006095,0.709089,0.026533,5
90,log1p,DecisionTree,0.707880,0.003976,0.617560,0.010323,0.600724,0.006713,5
90,log1p,MLP,0.829900,0.002418,0.696680,0.002225,0.671264,0.004650,5
90,log1p,RandomForest,0.787800,0.003447,0.673600,0.004239,0.577552,0.009379,5
90,log1p,Transformer,0.785780,0.003508,0.646180,0.003117,0.705265,0.020781,5
90,raw,DecisionTree,0.700520,0.003466,0.616340,0.003171,0.595102,0.007959,5
90,raw,MLP,0.828560,0.002377,0.695740,0.003767,0.670666,0.005366,5
90,raw,RandomForest,0.783620,0.005403,0.673260,0.004408,0.572725,0.009212,5
90,raw,Transformer,0.783140,0.005107,0.651080,0.005662,0.707060,0.013333,5
90,zscore,DecisionTree,0.702940,0.006290,0.617460,0.004221,0.591524,0.008954,5
90,zscore,MLP,0.829400,0.004298,0.695980,0.003325,0.680548,0.005255,5
90,zscore,RandomForest,0.785180,0.005327,0.673880,0.004028,0.573725,0.009586,5
90,zscore,Transformer,0.784280,0.003373,0.650280,0.007206,0.706591,0.023758,5
100,log1p,DecisionTree,0.709120,0.003640,0.620800,0.005698,0.592915,0.003760,5
100,log1p,MLP,0.838940,0.004617,0.707160,0.006864,0.676077,0.004555,5
100,log1p,RandomForest,0.795980,0.004491,0.677480,0.003174,0.582520,0.006798,5
100,log1p,Transformer,0.798800,0.006875,0.656520,0.012977,0.704562,0.011922,5
100,raw,DecisionTree,0.702660,0.010900,0.624580,0.004729,0.588378,0.008112,5
100,raw,MLP,0.845020,0.005552,0.711980,0.006490,0.678858,0.005134,5
100,raw,RandomForest,0.791420,0.006112,0.678160,0.003882,0.576354,0.008355,5
100,raw,Transformer,0.805840,0.005950,0.659660,0.008412,0.724898,0.016416,5
100,zscore,DecisionTree,0.707160,0.007625,0.620260,0.003373,0.590631,0.006052,5
100,zscore,MLP,0.840120,0.004332,0.711500,0.006397,0.682332,0.003635,5
100,zscore,RandomForest,0.792640,0.003416,0.679020,0.004979,0.577563,0.005441,5
100,zscore,Transformer,0.800960,0.009556,0.654980,0.019251,0.722581,0.029919,5
110,log1p,DecisionTree,0.711740,0.006229,0.623600,0.007578,0.599657,0.008878,5
110,log1p,MLP,0.853180,0.000844,0.723240,0.004001,0.684528,0.001102,5
110,log1p,RandomForest,0.800260,0.004834,0.680420,0.005810,0.581467,0.008902,5
110,log1p,Transformer,0.811260,0.008116,0.660640,0.012246,0.715107,0.016738,5
110,raw,DecisionTree,0.706060,0.009616,0.618160,0.005235,0.591885,0.010190,5
110,raw,MLP,0.852160,0.003593,0.719380,0.003457,0.678887,0.004955,5
