seed,P,norm,model,id_acc,ood_acc,ood_auroc
43,10,zscore,DecisionTree,0.580400,0.530000,0.521310
43,10,zscore,RandomForest,0.581300,0.530000,0.519740
43,10,zscore,MLP,0.576300,0.529000,0.587996
43,10,zscore,Transformer,0.578700,0.541700,0.493539
43,20,raw,DecisionTree,0.622900,0.560500,0.575851
43,20,raw,RandomForest,0.637900,0.566300,0.559004
43,20,raw,MLP,0.639200,0.563500,0.578256
43,20,raw,Transformer,0.642300,0.565600,0.511256
43,20,log1p,DecisionTree,0.621200,0.560600,0.576792
43,20,log1p,RandomForest,0.639600,0.566300,0.567164
43,20,log1p,MLP,0.643100,0.563900,0.574176
43,20,log1p,Transformer,0.626600,0.573900,0.490352
43,20,zscore,DecisionTree,0.624600,0.565000,0.562145
43,20,zscore,RandomForest,0.639200,0.566300,0.551290
43,20,zscore,MLP,0.637900,0.565000,0.575791
43,20,zscore,Transformer,0.634900,0.558800,0.544738
43,30,raw,DecisionTree,0.641800,0.577900,0.611544
43,30,raw,RandomForest,0.671800,0.589300,0.561842
43,30,raw,MLP,0.690100,0.583800,0.659829
43,30,raw,Transformer,0.679200,0.567000,0.620060
43,30,log1p,DecisionTree,0.647000,0.575000,0.617835
43,30,log1p,RandomForest,0.672500,0.591000,0.562150
43,30,log1p,MLP,0.688500,0.582100,0.620923
43,30,log1p,Transformer,0.675000,0.560400,0.590292
43,30,zscore,DecisionTree,0.642400,0.580300,0.620903
43,30,zscore,RandomForest,0.672800,0.591600,0.561600
43,30,zscore,MLP,0.685000,0.580800,0.656997
43,30,zscore,Transformer,0.686300,0.570400,0.593678
43,40,raw,DecisionTree,0.659100,0.591700,0.593794
43,40,raw,RandomForest,0.698200,0.623300,0.557689
43,40,raw,MLP,0.724500,0.610100,0.666073
43,40,raw,Transformer,0.694800,0.585800,0.646586
43,40,log1p,DecisionTree,0.662400,0.590400,0.611071
43,40,log1p,RandomForest,0.703500,0.623800,0.557842
43,40,log1p,MLP,0.731300,0.609700,0.653231
43,40,log1p,Transformer,0.690900,0.576800,0.632168
43,40,zscore,DecisionTree,0.665400,0.591600,0.614195
43,40,zscore,RandomForest,0.699400,0.623000,0.557672
43,40,zscore,MLP,0.717200,0.613900,0.669699
43,40,zscore,Transformer,0.698800,0.593600,0.621652
43,50,raw,DecisionTree,0.672400,0.606600,0.587025
43,50,raw,RandomForest,0.727300,0.634100,0.556118
43,50,raw,MLP,0.756100,0.634500,0.649607
43,50,raw,Transformer,0.724300,0.599600,0.647473
43,50,log1p,DecisionTree,0.671500,0.600700,0.588496
43,50,log1p,RandomForest,0.727600,0.640100,0.558309
43,50,log1p,MLP,0.757800,0.629600,0.644354
43,50,log1p,Transformer,0.720400,0.591700,0.672073
43,50,zscore,DecisionTree,0.680800,0.605600,0.595015
43,50,zscore,RandomForest,0.727000,0.636600,0.560817
43,50,zscore,MLP,0.749700,0.632700,0.660397
43,50,zscore,Transformer,0.714900,0.592400,0.650692
43,60,raw,DecisionTree,0.680800,0.605600,0.598518
43,60,raw,RandomForest,0.743200,0.648400,0.560599
43,60,raw,MLP,0.775300,0.650200,0.658784
43,60,raw,Transformer,0.732300,0.617200,0.681729
43,60,log1p,DecisionTree,0.684500,0.604900,0.593148
43,60,log1p,RandomForest,0.746200,0.645300,0.558705
43,60,log1p,MLP,0.777600,0.644100,0.664211
43,60,log1p,Transformer,0.740300,0.624300,0.687152
43,60,zscore,DecisionTree,0.691900,0.607700,0.597873
43,60,zscore,RandomForest,0.743300,0.648500,0.561649
43,60,zscore,MLP,0.774900,0.651500,0.669383
43,60,zscore,Transformer,0.746400,0.634000,0.686024
43,70,raw,DecisionTree,0.681700,0.614000,0.602962
43,70,raw,RandomForest,0.759300,0.654400,0.549939
43,70,raw,MLP,0.801100,0.667200,0.658291
43,70,raw,Transformer,0.745100,0.610700,0.684722
43,70,log1p,DecisionTree,0.696300,0.616100,0.607326
43,70,log1p,RandomForest,0.761900,0.658700,0.554509
