P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
70,raw,Baseline_LogReg,0.722280,0.003693,0.606940,0.007416,0.652859,0.005833,5
70,zscore,Baseline_CosThresh,0.712580,0.002137,0.560440,0.006438,0.527213,0.040618,5
70,zscore,Baseline_L1Thresh,0.638780,0.004367,0.513500,0.002384,0.919502,0.010023,5
70,zscore,Baseline_L2Thresh,0.634760,0.006441,0.514720,0.002903,0.890226,0.054380,5
70,zscore,Baseline_LogReg,0.722300,0.004080,0.596060,0.001674,0.629955,0.007516,5
80,log1p,Baseline_CosThresh,0.723600,0.004595,0.630920,0.006236,0.462527,0.008013,5
80,log1p,Baseline_L1Thresh,0.649900,0.006184,0.515560,0.002732,0.893788,0.015666,5
80,log1p,Baseline_L2Thresh,0.652700,0.006200,0.515660,0.003664,0.679867,0.077115,5
80,log1p,Baseline_LogReg,0.733660,0.005813,0.618180,0.006794,0.642031,0.007637,5
80,raw,Baseline_CosThresh,0.725320,0.003854,0.642100,0.002319,0.455006,0.012289,5
80,raw,Baseline_L1Thresh,0.648800,0.006272,0.516200,0.002678,0.921584,0.009089,5
80,raw,Baseline_L2Thresh,0.645580,0.002761,0.517400,0.005364,0.858248,0.062217,5
80,raw,Baseline_LogReg,0.737640,0.005182,0.616040,0.004131,0.658340,0.006370,5
80,zscore,Baseline_CosThresh,0.722920,0.004839,0.551160,0.009085,0.444008,0.046959,5
80,zscore,Baseline_L1Thresh,0.645560,0.005139,0.516180,0.001866,0.923902,0.007334,5
80,zscore,Baseline_L2Thresh,0.640140,0.006933,0.516580,0.007309,0.887551,0.047681,5
80,zscore,Baseline_LogReg,0.737140,0.003220,0.604200,0.004297,0.645484,0.004028,5
90,log1p,Baseline_CosThresh,0.734520,0.003716,0.654140,0.003904,0.441389,0.007786,5
90,log1p,Baseline_L1Thresh,0.657220,0.003042,0.515820,0.002074,0.896330,0.012413,5
90,log1p,Baseline_L2Thresh,0.659740,0.002411,0.514440,0.004050,0.640185,0.087817,5
90,log1p,Baseline_LogReg,0.743840,0.004321,0.617940,0.018147,0.635948,0.013390,5
90,raw,Baseline_CosThresh,0.736240,0.004062,0.655860,0.003853,0.440918,0.005200,5
90,raw,Baseline_L1Thresh,0.656620,0.003311,0.513440,0.004829,0.921819,0.009050,5
90,raw,Baseline_L2Thresh,0.655060,0.005179,0.514680,0.005547,0.860516,0.046241,5
90,raw,Baseline_LogReg,0.747320,0.003036,0.619440,0.017865,0.654840,0.004724,5
90,zscore,Baseline_CosThresh,0.731960,0.001736,0.571980,0.018666,0.456062,0.040250,5
90,zscore,Baseline_L1Thresh,0.654420,0.004611,0.514640,0.003205,0.922794,0.007552,5
90,zscore,Baseline_L2Thresh,0.647920,0.006051,0.514100,0.005908,0.879527,0.051379,5
90,zscore,Baseline_LogReg,0.748320,0.002232,0.605660,0.007213,0.638136,0.008343,5
100,log1p,Baseline_CosThresh,0.748760,0.005627,0.670520,0.004539,0.423499,0.005168,5
100,log1p,Baseline_L1Thresh,0.664280,0.006887,0.513220,0.003390,0.906139,0.011279,5
100,log1p,Baseline_L2Thresh,0.667640,0.006158,0.515580,0.003062,0.613037,0.086402,5
100,log1p,Baseline_LogReg,0.760660,0.004048,0.630820,0.012317,0.629481,0.008218,5
100,raw,Baseline_CosThresh,0.751960,0.005110,0.670780,0.004528,0.416083,0.020660,5
100,raw,Baseline_L1Thresh,0.661600,0.004621,0.514120,0.002887,0.927135,0.006571,5
100,raw,Baseline_L2Thresh,0.658880,0.003931,0.516460,0.003758,0.840460,0.074247,5
100,raw,Baseline_LogReg,0.764980,0.001798,0.638780,0.003535,0.650196,0.003523,5
100,zscore,Baseline_CosThresh,0.746840,0.004975,0.613500,0.023665,0.388069,0.053822,5
100,zscore,Baseline_L1Thresh,0.659340,0.006556,0.513520,0.002509,0.926677,0.006452,5
100,zscore,Baseline_L2Thresh,0.653900,0.004382,0.513460,0.005207,0.875047,0.049280,5
