seed,P,norm,model,id_acc,ood_acc,ood_auroc
42,150,zscore,Baseline_L2Thresh,0.677400,0.519700,0.932303
42,150,zscore,Baseline_CosThresh,0.782000,0.690700,0.359309
42,150,zscore,Baseline_LogReg,0.809700,0.648900,0.647321
42,200,raw,Baseline_L1Thresh,0.702600,0.516000,0.932675
42,200,raw,Baseline_L2Thresh,0.698900,0.516900,0.923896
42,200,raw,Baseline_CosThresh,0.798700,0.742100,0.404488
42,200,raw,Baseline_LogReg,0.831700,0.719800,0.635482
42,200,log1p,Baseline_L1Thresh,0.704800,0.516800,0.900404
42,200,log1p,Baseline_L2Thresh,0.710600,0.516600,0.410089
42,200,log1p,Baseline_CosThresh,0.798200,0.742100,0.354286
42,200,log1p,Baseline_LogReg,0.828600,0.712800,0.625508
42,200,zscore,Baseline_L1Thresh,0.698000,0.517500,0.930954
42,200,zscore,Baseline_L2Thresh,0.689200,0.514400,0.923287
42,200,zscore,Baseline_CosThresh,0.798400,0.697600,0.293641
42,200,zscore,Baseline_LogReg,0.834900,0.686200,0.657227
42,300,raw,Baseline_L1Thresh,0.730200,0.505900,0.925987
42,300,raw,Baseline_L2Thresh,0.720200,0.516800,0.927255
42,300,raw,Baseline_CosThresh,0.810100,0.732800,0.412955
42,300,raw,Baseline_LogReg,0.865900,0.754200,0.650335
42,300,log1p,Baseline_L1Thresh,0.729900,0.521200,0.889610
42,300,log1p,Baseline_L2Thresh,0.739400,0.506200,0.238702
42,300,log1p,Baseline_CosThresh,0.807100,0.722700,0.355502
42,300,log1p,Baseline_LogReg,0.865700,0.749100,0.642070
42,300,zscore,Baseline_L1Thresh,0.719200,0.506500,0.936617
42,300,zscore,Baseline_L2Thresh,0.702000,0.516500,0.937207
42,300,zscore,Baseline_CosThresh,0.824600,0.760900,0.313468
42,300,zscore,Baseline_LogReg,0.865700,0.739000,0.666475
42,400,raw,Baseline_L1Thresh,0.743100,0.501500,0.925502
42,400,raw,Baseline_L2Thresh,0.732700,0.529400,0.928948
42,400,raw,Baseline_CosThresh,0.824200,0.744700,0.417681
42,400,raw,Baseline_LogReg,0.885600,0.781400,0.659115
42,400,log1p,Baseline_L1Thresh,0.743300,0.504300,0.855555
42,400,log1p,Baseline_L2Thresh,0.757400,0.502300,0.214050
42,400,log1p,Baseline_CosThresh,0.823700,0.745000,0.365221
42,400,log1p,Baseline_LogReg,0.884400,0.776800,0.651447
42,400,zscore,Baseline_L1Thresh,0.726900,0.506200,0.933196
42,400,zscore,Baseline_L2Thresh,0.708400,0.522100,0.931990
42,400,zscore,Baseline_CosThresh,0.837500,0.782700,0.284590
42,400,zscore,Baseline_LogReg,0.883500,0.764400,0.674060
42,500,raw,Baseline_L1Thresh,0.756100,0.502800,0.911329
42,500,raw,Baseline_L2Thresh,0.737700,0.535500,0.924127
42,500,raw,Baseline_CosThresh,0.836200,0.749900,0.419411
42,500,raw,Baseline_LogReg,0.903400,0.797100,0.666082
42,500,log1p,Baseline_L1Thresh,0.755300,0.508500,0.854744
42,500,log1p,Baseline_L2Thresh,0.768500,0.502600,0.202951
42,500,log1p,Baseline_CosThresh,0.831900,0.752400,0.375331
42,500,log1p,Baseline_LogReg,0.900100,0.797500,0.654430
42,500,zscore,Baseline_L1Thresh,0.738700,0.505200,0.934483
42,500,zscore,Baseline_L2Thresh,0.713500,0.534800,0.933171
42,500,zscore,Baseline_CosThresh,0.855500,0.788300,0.269175
42,500,zscore,Baseline_LogReg,0.896600,0.782500,0.680591
42,600,raw,Baseline_L1Thresh,0.760400,0.504100,0.917973
42,600,raw,Baseline_L2Thresh,0.744500,0.531800,0.925626
42,600,raw,Baseline_CosThresh,0.845200,0.768500,0.426548
42,600,raw,Baseline_LogReg,0.913900,0.813000,0.670994
42,600,log1p,Baseline_L1Thresh,0.756300,0.503600,0.854703
42,600,log1p,Baseline_L2Thresh,0.775200,0.507900,0.215760
42,600,log1p,Baseline_CosThresh,0.843600,0.772200,0.384928
42,600,log1p,Baseline_LogReg,0.911700,0.815100,0.663065
42,600,zscore,Baseline_L1Thresh,0.743100,0.508900,0.932423
42,600,zscore,Baseline_L2Thresh,0.718400,0.520900,0.934272
42,600,zscore,Baseline_CosThresh,0.868000,0.804800,0.260351
42,600,zscore,Baseline_LogReg,0.909100,0.800800,0.684259
43,10,raw,Baseline_L1Thresh,0.555100,0.509500,0.493669
43,10,raw,Baseline_L2Thresh,0.555100,0.509500,0.490861
43,10,raw,Baseline_CosThresh,0.570400,0.514100,0.358877
43,10,raw,Baseline_LogReg,0.569700,0.521000,0.515623
43,10,log1p,Baseline_L1Thresh,0.555100,0.509500,0.478101
43,10,log1p,Baseline_L2Thresh,0.555100,0.509500,0.448022
43,10,log1p,Baseline_CosThresh,0.569800,0.514100,0.363547
43,10,log1p,Baseline_LogReg,0.574100,0.541800,0.512714
43,10,zscore,Baseline_L1Thresh,0.555100,0.509500,0.500222
43,10,zscore,Baseline_L2Thresh,0.555100,0.509500,0.504908
43,10,zscore,Baseline_CosThresh,0.570300,0.514100,0.382917
43,10,zscore,Baseline_LogReg,0.567600,0.535100,0.531238
43,20,raw,Baseline_L1Thresh,0.580300,0.527400,0.678026
43,20,raw,Baseline_L2Thresh,0.580300,0.527400,0.711592
43,20,raw,Baseline_CosThresh,0.608300,0.535800,0.471067
43,20,raw,Baseline_LogReg,0.612700,0.536100,0.531718
43,20,log1p,Baseline_L1Thresh,0.580300,0.527400,0.581966
43,20,log1p,Baseline_L2Thresh,0.580300,0.527400,0.594826
43,20,log1p,Baseline_CosThresh,0.603500,0.535800,0.452823
43,20,log1p,Baseline_LogReg,0.609000,0.561700,0.535290
43,20,zscore,Baseline_L1Thresh,0.582000,0.523200,0.700162
43,20,zscore,Baseline_L2Thresh,0.582000,0.523200,0.713784
43,20,zscore,Baseline_CosThresh,0.608600,0.535800,0.402420
43,20,zscore,Baseline_LogReg,0.608000,0.536300,0.493484
43,30,raw,Baseline_L1Thresh,0.598300,0.511000,0.837126
43,30,raw,Baseline_L2Thresh,0.598400,0.511000,0.838548
43,30,raw,Baseline_CosThresh,0.633200,0.545800,0.564960
43,30,raw,Baseline_LogReg,0.638200,0.535800,0.561355
43,30,log1p,Baseline_L1Thresh,0.598300,0.511000,0.731378
43,30,log1p,Baseline_L2Thresh,0.598800,0.511000,0.751253
43,30,log1p,Baseline_CosThresh,0.632400,0.548300,0.573266
43,30,log1p,Baseline_LogReg,0.637800,0.535800,0.641783
43,30,zscore,Baseline_L1Thresh,0.596400,0.512400,0.845653
43,30,zscore,Baseline_L2Thresh,0.593400,0.515500,0.846452
43,30,zscore,Baseline_CosThresh,0.635100,0.547100,0.478568
43,30,zscore,Baseline_LogReg,0.636700,0.513400,0.549306
43,40,raw,Baseline_L1Thresh,0.621200,0.510800,0.891132
43,40,raw,Baseline_L2Thresh,0.620500,0.511500,0.886079
43,40,raw,Baseline_CosThresh,0.662400,0.543900,0.564848
43,40,raw,Baseline_LogReg,0.676200,0.509800,0.678101
43,40,log1p,Baseline_L1Thresh,0.621900,0.510400,0.796830
43,40,log1p,Baseline_L2Thresh,0.622900,0.510800,0.798689
43,40,log1p,Baseline_CosThresh,0.662200,0.543900,0.577825
43,40,log1p,Baseline_LogReg,0.673800,0.509800,0.681268
43,40,zscore,Baseline_L1Thresh,0.611800,0.508500,0.901901
43,40,zscore,Baseline_L2Thresh,0.604200,0.511400,0.908095
43,40,zscore,Baseline_CosThresh,0.670500,0.531200,0.687359
43,40,zscore,Baseline_LogReg,0.669100,0.533300,0.616980
43,50,raw,Baseline_L1Thresh,0.624100,0.509100,0.911768
43,50,raw,Baseline_L2Thresh,0.626600,0.512200,0.893934
43,50,raw,Baseline_CosThresh,0.681700,0.556100,0.540686
43,50,raw,Baseline_LogReg,0.686300,0.542700,0.621819
43,50,log1p,Baseline_L1Thresh,0.624400,0.509100,0.847042
43,50,log1p,Baseline_L2Thresh,0.626100,0.509100,0.796791
43,50,log1p,Baseline_CosThresh,0.682600,0.556500,0.537215
43,50,log1p,Baseline_LogReg,0.687600,0.545500,0.630934
43,50,zscore,Baseline_L1Thresh,0.621000,0.516100,0.915515
43,50,zscore,Baseline_L2Thresh,0.614900,0.519400,0.924133
43,50,zscore,Baseline_CosThresh,0.681400,0.553500,0.473648
43,50,zscore,Baseline_LogReg,0.694500,0.559000,0.617620
43,60,raw,Baseline_L1Thresh,0.637500,0.515800,0.922757
43,60,raw,Baseline_L2Thresh,0.637100,0.517800,0.891605
43,60,raw,Baseline_CosThresh,0.695500,0.595000,0.499457
43,60,raw,Baseline_LogReg,0.710500,0.578800,0.622824
43,60,log1p,Baseline_L1Thresh,0.637300,0.516000,0.874793
43,60,log1p,Baseline_L2Thresh,0.639300,0.515800,0.796977
43,60,log1p,Baseline_CosThresh,0.696200,0.595000,0.528241
43,60,log1p,Baseline_LogReg,0.709800,0.578800,0.603582
43,60,zscore,Baseline_L1Thresh,0.633100,0.516000,0.925219
43,60,zscore,Baseline_L2Thresh,0.629600,0.508000,0.927103
43,60,zscore,Baseline_CosThresh,0.697800,0.551000,0.366459
43,60,zscore,Baseline_LogReg,0.711700,0.574900,0.618396
43,70,raw,Baseline_L1Thresh,0.639000,0.510300,0.925972
43,70,raw,Baseline_L2Thresh,0.638000,0.513500,0.897320
43,70,raw,Baseline_CosThresh,0.710700,0.630800,0.482498
43,70,raw,Baseline_LogReg,0.725700,0.604500,0.661948
43,70,log1p,Baseline_L1Thresh,0.639600,0.509000,0.892355
43,70,log1p,Baseline_L2Thresh,0.642500,0.510300,0.781196
43,70,log1p,Baseline_CosThresh,0.711800,0.597400,0.487135
43,70,log1p,Baseline_LogReg,0.723400,0.602800,0.641634
43,70,zscore,Baseline_L1Thresh,0.639300,0.512000,0.928570
43,70,zscore,Baseline_L2Thresh,0.637300,0.511600,0.928644
43,70,zscore,Baseline_CosThresh,0.715600,0.556000,0.481729
43,70,zscore,Baseline_LogReg,0.725500,0.597400,0.636719
43,80,raw,Baseline_L1Thresh,0.647500,0.513900,0.928884
43,80,raw,Baseline_L2Thresh,0.646800,0.521000,0.905772
43,80,raw,Baseline_CosThresh,0.719800,0.641400,0.463375
43,80,raw,Baseline_LogReg,0.740200,0.615100,0.661976
43,80,log1p,Baseline_L1Thresh,0.646800,0.512600,0.902456
43,80,log1p,Baseline_L2Thresh,0.649600,0.510600,0.744188
43,80,log1p,Baseline_CosThresh,0.718800,0.630500,0.469444
43,80,log1p,Baseline_LogReg,0.734300,0.607900,0.655533
43,80,zscore,Baseline_L1Thresh,0.651000,0.513800,0.930045
43,80,zscore,Baseline_L2Thresh,0.644700,0.520600,0.924962
43,80,zscore,Baseline_CosThresh,0.715500,0.546400,0.440893
43,80,zscore,Baseline_LogReg,0.738700,0.604500,0.650886
43,90,raw,Baseline_L1Thresh,0.660800,0.509300,0.928895
43,90,raw,Baseline_L2Thresh,0.660800,0.513100,0.895514
43,90,raw,Baseline_CosThresh,0.729400,0.654100,0.443349
43,90,raw,Baseline_LogReg,0.748300,0.618000,0.651948
43,90,log1p,Baseline_L1Thresh,0.657300,0.512700,0.903722
43,90,log1p,Baseline_L2Thresh,0.659200,0.513600,0.725601
43,90,log1p,Baseline_CosThresh,0.728400,0.654600,0.447115
43,90,log1p,Baseline_LogReg,0.747300,0.617800,0.629663
43,90,zscore,Baseline_L1Thresh,0.657800,0.511600,0.929352
43,90,zscore,Baseline_L2Thresh,0.652300,0.510800,0.927866
43,90,zscore,Baseline_CosThresh,0.730000,0.585300,0.463945
